"Student_ID","School_ID","Sex","Race","English","DOB","Num_Siblings","Parent_Highest_ED","Fam_Income","Stan_Comp_Test_Q_B","Math_Q_B","Reading_Q_B","Class_Prep_B","Writing_Ability_B","Hours_HW_B","Hours_TV_B","Student_Job_B","Varsity_Baseball_B","JV_Baseball_B","JV_Softball_B","Varsity_Softball_B","JV_Basketball_B","Varsity_Basketball_B","JV_Football_B","Varsity_Football_B","JV_Soccer_B","Varsity_Soccer_B","JV_Other_B","Varsity_Other_B","JV_Individual_B","Varsity_Individual_B","Band_Chorus_B","Play_Musical_B","Student_Gov_B","Honor_Society_B","Yearbook_Newspaper_B","Service_Clubs_B","Hours_Spent_ExtraCiriculars_B","Num_Sports_B","Highest_Level_Sport_B","Future_Edu_Plans_B","Standardized_Test_F1","Int_Mural_F1","Int_Schol_F1","Grade_Level_F1","Math_Q_F1","Total_AP_F1","Total_GPA_F1","Senior_GPA_F1","Sophomore_GPA_F1","Band_Chorus_F1","Post_Secondary_College_F2","Highest_Ed_F2","Applied_College_F2","College_Type_F2","Highest_Ed_Expected_F2","Int_Mur_JV_F2","Int_Col_Varsity_F2","Post_Secondary_Adult_F3","High_School_F3","GED_F3","Credential_F3","Four_Year_F3"
101101,-5,2,5,1,198512,0,5,10,3,3,4,-0.673,1.191,7,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,1,3,2,-5,-5,-5,-5,1,-8,-8,-8,-8,-8,-8,-8,1,1,0,0,-9
101102,-5,2,2,0,198605,-9,5,11,4,4,3,0.575,1.191,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,7,3,1,1,3,4,-5,-5,-5,-5,1,1,6,1,1,8,1,1,1,0,0,1,1
101104,-5,2,7,1,198601,1,2,10,4,4,4,0.743,0.996,-9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,-1,3,1,1,3,4,-5,-5,-5,-5,1,1,6,1,1,7,1,1,1,0,0,1,0
101105,-5,2,3,1,198607,-4,2,2,2,2,2,-9,-0.137,11,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,5,4,2,1,3,2,-5,-5,-5,-5,1,1,5,1,4,6,1,1,1,0,0,0,0
101106,-5,2,4,0,198511,3,1,6,1,1,1,-2.651,-0.435,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,3,1,-5,-5,-5,-5,1,1,5,1,4,7,1,1,1,1,0,0,0
101107,-5,1,4,0,198510,2,2,9,1,1,1,0.284,-0.63,13,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,2,4,4,1,1,3,1,-5,-5,-5,-5,1,0,3,0,-3,4,-3,-3,1,0,0,0,0
101108,-5,1,4,1,198607,-9,6,10,2,3,1,-1.902,-0.246,12,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,1,2,-1,4,1,1,3,2,-5,-5,-5,-5,1,1,5,1,4,7,1,1,1,1,0,1,0
101109,-5,1,7,1,198512,3,2,10,4,4,4,-0.195,0.704,12,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,18,2,1,6,-4,-4,-4,-4,-8,-5,-5,-5,-5,-4,1,6,1,2,7,2,1,1,0,0,1,1
101110,-5,1,4,1,198505,1,2,8,1,1,2,-2.651,-1.116,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,7,-4,-4,-4,-4,-8,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-9,0,-4,-4
101111,-5,1,3,1,198507,-9,1,3,2,2,1,1.034,-0.624,23,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,6,4,1,1,3,2,-5,-5,-5,-5,2,1,5,1,4,6,2,2,1,0,0,0,-9
101112,-5,1,3,1,198609,2,6,8,4,4,3,-0.195,1.567,9,8,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,18,3,2,-1,3,1,1,3,4,-5,-5,-5,-5,1,1,6,1,1,6,1,1,1,0,0,0,-9
101113,-5,2,4,0,198607,1,4,8,2,2,1,1.034,0.241,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,6,2,2,2,3,2,-5,-5,-5,-5,1,-4,-4,-4,-4,-4,-4,-4,1,0,0,0,-9
101114,-5,2,3,1,198505,-9,4,5,1,1,1,0.743,0.436,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,4,1,1,3,1,-5,-5,-5,-5,1,-4,-4,-4,-4,-4,-4,-4,1,1,0,1,0
101115,-5,1,2,1,198512,2,2,8,3,4,1,0.555,-0.514,11,8,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,7,2,-1,3,1,2,3,2,-5,-5,-5,-5,1,1,5,1,4,8,1,1,1,0,0,0,0
101116,-5,1,2,1,198612,-4,7,12,4,4,4,-0.634,0.618,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,1,1,7,3,1,3,3,4,-5,-5,-5,-5,1,1,6,1,2,8,2,1,1,0,0,0,1
